ID;Jaar;Plaats uitgave;Boekverkoper;Auteur;Titel;Formaat;Vindplaats;Bijwerk;Figure;Plaats druk;Drukker;Stijl
BDA:11;1583;Delft;Maritgen Simons;;(fol. A1r) [in zwart en rood] Nieuwe Ghepractiseerde| Almanach ende Prog | nosticatie opt Iaer ons Heeren| Iesu Christi M.D.LXXXIII.| Ghecalculeert door de Hoochgeleerde Man | nen inder Consten Astronomien.| [houtsnede: portret (Stephanus Rabbatenus?)]| Ghedruct tot Delft by Maritgen Sy | mons, woonende by de Vis marct, ten| huyse van Symon Iansz.||;16o:[A B] 8;KBH 26 F 9;Een bijwerkje: Practica Ofte Prognosticatie [...] 1583] [...] door mees | ter Wahlterum Christophorum, Chirurgijn tot Gheervliet. [..] tot Delft, by Mari | tgen  Symons [...]||;;Delft;;
BDA:12;1586;Amsterdam;Cornelis Claesz;Ambrosius Germanicus;(fol. A1r) [In zwart en rood] [omkaderd met ornamentrand] Cronijck| Almanach ofte Iournael,| Op dat Iaer na der gheboorte ons| Heeren Iesu Christi. M.D.LXXXDI.| Inhoudende veel waerachtighe gheschiedenissen, seltsame won | deren, menigerley veranderinghen, straf des Boosdoenders, ende in somma| veel wonderlijcke gheschichten in Gheestelijcke ende Wereltlijcke saec | ken ende handelinghen, tot een yders gherijf ende verlustinghe.| Ghepractiseert door den vermaerden D. Ambrosium Germanicum| Liefhebber der Astronomie. Naevolgher des Ouden D.| D. Ambrosium Magirum.| De beduydinghe deser Figuere vindij int omslaen deses blats.| [houtsnede allegorische voorstelling]| Ghedruckt tot Amstelredam by Cornelis Claesz. opt Water int| Schrijfboeck by de oude Brugghe.||;4o:[A D] 4 (  A2 t/m D2);UBA O 73 74;;AFBEELDING  26,1 [KOPIE];;;
BDA:13;1586;Delft;Aelbrecht Hendricksz;Gualtherus Christophorus;(fol. 1A1r) [ornamentrand om hele almanak heen] [In zwart en rood] Almanach vanden Iare ons Heeré M.CCCCC.LXXXVJ.|| (fol 2A1r) Door M. Waltherum Christoporu [met verlengingsteken] Churgijn tot Gheervliet.||;1o:[A] 1 1o:[A] 1;KBH 1700 D2;;;;;
BDA:14;1586;Deventer;Simon van Steenbergen ?;Rodolphus Grapheus;(fol. A1r) [In zwart en rood] Cronijck schrijff| Almanach,| Nije, ende Oldt: By dat Iaer na| die Geboort ons Heeren Iesu| Christi. M.D.LXXXVI.| Gedediciert ter Eeren, den Erentfesten, Hoochgeleerten| Hoochachtbare unde Wijse Heeren Burgemeijsteren, Schepen ende| Raedt der K. Vrije Anzestadt Deventer: Mijnen Ghebie | denden Heeren seer dienstlich.| Inholdende vele gedenckweerdige, Ende waerachtige Lofweerdige Gheschie | denissen. Tot nut ende proffit der Hoogher Overicheyt, Rentmeysteren,| Koopludé, Rentenijrs, Cantoré ende voort alle gemeyne Borgere etc.| Ghepractisiert dorch D. Rodolphum Grapheum, &c.| [houtsnede stadsgezicht met opschrift: 'Die Stadt van Deventer' en 'Die Isell']| Iupiter ende Mercurius, Heeren des Iaers.| Venus haer Medehulperssche.||;4o: [A] 4 [rest ontbreekt];PCH;;AFBEELDING  4,1-4,3 [KOPIEEN];;;
BDA:15;1587;Amsterdam;Cornelis Claesz;Ambrosius Germanicus;(fol. A1r) [In zwart en rood] Den nieuwen ghereformeerden| Almanach:| Opt Iaer onsheeren M.D.LXXXVII.| Mitsgaders den Almanach van| den ouden stijl, opt iaer M.D.LXXXVII.| [houtsnede: portret met opschrift: ANNO AETATIS XXXVIII].| [tekst verticaal langs houtsnede:] Ghepractiseert door den vermaer| den D. Ambrosium Germanicum, Me | dicum ende Mathematicum, Liefhebber| der Astronomie: Navolger des ouden| D.D. Ambrosi Magiri.| [tekst onder houtsnede:] Ghedruckt tot Amstelredam, by my Cornelis| Claesz. opt water, int schrijfboeck||;16o:[A] 8 B 8;BLL 8563a8;;;;;
BDA:16;1587;Amsterdam;Cornelis Claesz;Ambrosius Germanicus;(fol. A1r) [In zwart en rood] Den nieuwen ghereformeerden| Almanach:| Opt Iaer onsheeren M.D.LXXXVII.| Mitsgaders den Almanach van| den ouden stijl, opt iaer M.D.LXXXVII.| [houtsnede: portret met opschrift: ANNO AETATIS XXXVIII].| [tekst verticaal langs houtsnede:] Ghepractiseert door den vermaer| den D. Ambrosium Germanicum, Me | dicum ende Mathematicum, Liefhebber| der Astronomie: Navolger des ouden| D.D. Ambrosi Magiri.| [tekst onder houtsnede:] Ghedruckt tot Amstelredam, by my Cornelis| Claesz. opt water, int schrijfboeck||;16o:[A] 8 B 8;BLL 8563a8;;;;;
BDA:17;1587;Amsterdam;Cornelis Claesz;Ambrosius Germanicus;(fol. A1r) [In zwart en rood] Den nieuwen ghereformeerden| Almanach:| Opt Iaer onsheeren M.D.LXXXVII.| Mitsgaders den Almanach van| den ouden stijl, opt iaer M.D.LXXXVII.| [houtsnede: portret met opschrift: ANNO AETATIS XXXVIII].| [tekst verticaal langs houtsnede:] Ghepractiseert door den vermaer| den D. Ambrosium Germanicum, Me | dicum ende Mathematicum, Liefhebber| der Astronomie: Navolger des ouden| D.D. Ambrosi Magiri.| [tekst onder houtsnede:] Ghedruckt tot Amstelredam, by my Cornelis| Claesz. opt water, int schrijfboeck||;16o:[A] 8 B 8;BLL 8563a8;;;;;
BDA:18;1587;Amsterdam;Cornelis Claesz;Ambrosius Germanicus;(fol. A1r) [In zwart en rood] [omkaderd met ornamentrand] CRONIICK | Almanach oft Iournael,| Op dat Iaer na der gheboorte ons| Heeren Iesu Christi M.D.LXXXVI.| Inhoudende veel waerachtighe gheschiedenissen, seltsame won | deren, menigerly veranderinghen, straf [d]es Boosdoeners, ende in somma| veel wonderlijcke gheschichten in Gheestelijcke ende Wereltlijcke saec | ken ende handelinghen, tot een yders gherijf ende verlustinghe.|  Ghepractiseert door den vermaerden D. Ambrosium Germanicum| Liefhebber der Astronomie, Naevolgher des Ouden D.| D. Ambrosium Magirum.| De beduydinghe deser Figuere vindy int /omslaen deses blats.| [Houtsnede: allegorische voorstelling]| Ghedruckt tot Amstelredam by  Cornelis Claesz. opt Water int| Schrijfboeck by de oude Brugghe.||;4o:[A] 4 B D 4;RAF Archief 345 verz. aanw. 393;;;;;
BDA:19;1587;Deventer;Simon van Steenbergen;Rodolphus Grapheus;(fol. A1r) [titel omkaderd met wapenschilden van de 17 Nederlandse provincien en de drie steden] [In zwart en rood]| Schrijf Almanach, met| heerlicke Chronické dár| by gestelt, Op dat Iaer na die Geboorte| Onsers Heeren Iesu Christi.| M.D.LXXXVII.| Tot nut ende proffijt der Hooger Overicheyt, Rent | meysteren, Koopluyden, Renteniers, Cantoren, ende voort| voor alle Ghemeene Borgheren. etc.| [houtsnede stadsgezicht met opschrift: Die Stadt van Deventer. [en] Die Isell]| Dorch D. Rodolphum Grapheum, Medicú, Litho | tomú eñ Astronomú, Ordonariú, der R. Vrye Anzestat Deventer.||;4o:[A] 4 B D 4;POM afd. doc. 19 61;;;Deventer;Simon van Steenbergen;
BDA:20;1587;Deventer;Simon van Steenbergen;Rodolphus Grapheus;(fol. A1r) [titel omkaderd met wapenschilden van de 17 Nederlandse provincien en de drie steden] [In zwart en rood]| Schrijf Almanach, met| heerlicke Chronické dár| by gestelt, Op dat Iaer na die Geboorte| Onsers Heeren Iesu Christi.| M.D.LXXXVII.| Tot nut ende proffijt der Hooger Overicheyt, Rent | meysteren, Koopluyden, Renteniers, Cantoren, ende voort| voor alle Ghemeene Borgheren. etc.| [houtsnede stadsgezicht met opschrift: Die Stadt van Deventer. [en] Die Isell]| Dorch D. Rodolphum Grapheum, Medicú, Litho | tomú eñ Astronomú, Ordonariú, der R. Vrye Anzestat Deventer.||;4o:[A] 4 B D 4;POM afd. doc. 19 61;;;Deventer;Simon van Steenbergen;
BDA:21;1589;Delft;Aelbrecht Hendricksz;Stephanus Rabbathenus;(fol. 1A1r) [ornamentrand hele almanak] [In zwart en rood] Almanach opt Iaer ons Heeren M.D.L.XXXIX.|| (fol. 2A1r) Door D. Stephanum Rabbathenum, beminder der Astronom.||;1o:[A] 1 1o:[A] 1;KBH 1700 D2;;;;;
BDA:22;1589;Rotterdam;Dirck Mullem;Henricus Spero Nieulander;(fol. A1r) [in zwart en rood] Nieuwen en Ouden stijl.| Almanach| opt Iaer onses Heeren Iesu| Christi. M. D. LXXXIX.| Op den Horisondt der Nederlanden. [houtsnede portret] Door Henricum Spe | ronem, Nieulander.| Dierck Mullem.||;16o:[A B] 8;KBH 26 F 10;Een bijwerkje: [A] 8 De cleyne| Prognosticatie opt Jaer ons heeren Jesu Christi| [1589]| Door henricum Speronem Nieulander.||;;;;
BDA:23;1590;Amsterdam;Cornelis Claesz;Ambrosius Germanicus;(fol. A1r) [In zwart en rood] [omkaderd met ornamentrand] CRONYCK| Almanach ofte Iour | nael, Op dat Iaer ons Heeren ende| Salichmaker Ihesu Christi.| M.D.XC.| Inhoudende vele warachtighe gheschiedenissen, won | deren. menigerhande veranderinghe der Rijcken, straffe der Qua | den, opcomen der goeden, ende veel andere wonderlijcke saken, tot| verlustinghe, profijt, ende oock waerschou | winghe van een yeder.| [lijn]| Ghepractiseert door den vermaerden D.D. Ambro | sium Germanicum, Liefhebber der Astronomie. Navolger| des Ouden D. Ambrosii Mageri.| Saturnus ende Iupiter Heeren des Iaers.| [houtsnede gezicht op Amsterdam]| Ghedruckt tot  Amstelredam by Cornelis Claesz. op het| Water, by de oude Brugghe, int Schrijfboeck.||;4o:[A C] 4 D 4 (  A2 t/m D1);UBA O 73 74;;;;;
BDA:24;1590;Delft;Bruyn Harmansz Schinckel;Gualtherus Christophorus;(fol. 1A1r) [in zwart en rood] [met ornamentrand] Almanach na den Nieuwen stijl, opt Iaer ons Heeren Iesu Christi M.CCCCC.XC. || (fol.2A1r) Ghecalculeert  door Meester Waltherum Christophorum, Chirurgijn tot Gheer vliet.||;1o:[A] 1 1o:[A] 1;KBH 1700 D2;;AFBEELDING  9,1  [KLEURENECTA];;;
BDA:25;1592;'s-Gravenhage;Aelbrecht Hendricksz;Stephanus Rabbathenus;(fol. 1A1r) [In zwart en rood] [ornamentrand] Almanach vanden Iare ons Heeren M.CCCCC. eñ XCII.|| (fol. 2A2r) Door D. Stephanum Rabbathenum beminder der Astronom.||;1o:[A] 1  1o:[A] 1;KBH 1700 D2;;;;;
BDA:26;1593;'s Gravenhage;Aelbrecht Hendricksz;Stephanus Rabbathenus;(fol. 1A1r) [In zwart en rood] [ornamentrand] Almanach vanden Iare ons Heeren M.CCCCC.XCIII.|| (2A1r) Door D. Stephanum Rabbathenum beminder der Astronom.||;1o:[A] 1 1o[A] 1;KBH 1700 D2;;;;;
BDA:27;1593;Amsterdam;Cornelis Claesz;Ambrosius Germanicus;(fol. A1r) [In zwart en rood) Almanach eñ| Prognosticatie, na den ouden stijl: Opt| Iaer ons Heeren, XVc.XCJJJ.| Ghepractiseert door den vermaerden| D. Ambrosium Germanicum, Lief | hebber der Astronomie ende Navol | gher des oude D. Ambrosij Magiri.| [houtsnede: astroloog met armillairsfeer en passer in zijn handen. Op de achtergrond astrol. symbolen]| Tot Amstelredam, by Cornelis Claesz.||;16o:[A] 8 B 8;UBL 1499 G 20;Een bijwerkje: [A] 8 De cleyne Practica ofte Prognosticatie [...] [1593] by Cornelis Claesz.;;;;
BDA:28;1594;'s Gravenhage;Aelbrecht Hendricksz;Stephanus Rabbathenus;(fol. A1r) [omkaderd door een ornamentrand] [in zwart en rood] Almanach eñ Prog | nosticatie na de Nieuwe eñ Ou | de stijl, Opt Iaer ons Heeren| M.D.XCIIII.| [lijn]| Hier zijn byghevoecht veel oude ende nieuwe| geschiedenissen, seer nut ter gedenckenisse.| [lijn]| [houtsnede: portret. Verticaal, aan weerszijden van het portret staat:]| Ghepractiseert door den seer ervaren| D. Stephanum Rabbathenum, Astr.| Inden Hage, by Aelbrecht Heyndricxsz.||;16o:[A] 8 B 8;KBB II 5447 A;Een bijwerkje: A 8 Historien, eñ warachtige geschiedenissen [...] Anno M.D. XCIIII. (zelfde uitgever en plaats van uitgave?).;;;;
BDA:29;1594;Delft;Bruyn Harmansz Schinkel;Stephanus Rabbathenus;(fol. 1A1r) (In zwart en rood) (ornamentrand) Almanach vanden Iare ons Heeren M.D. XCIIII.|| (2A1r) Door D. Stephanum Rabbathenum beminder der Astronom.||;1o:[A] 1 1o:[A] 1;KBH 1700 D2;;;;;
BDA:30;1595;Delft;Jan Andriesz Cloeting;Gualtherus Christophorus;(fol. 2A1r) (In zwart en rood) (ornamentrand) Almanach, Opt Iaer ons Heeren M.D.XCV.|| (fol. 2A1r) Door Gualterum Christophorum, Chirurgijn tot Geervliet.||;1o:[A] 1 1o:[A] 1;KBH 1700 D2;;;;;
BDA:31;1595;Deventer;Simon van Steenbergen ?;;[titelpagina ontbreekt] Deventer schrijfalmanach [1595], [Simon van Steenbergen?, Deventer].;16o: [fragment];GAG [geen sign.] [acht vrijwel identieke fragmenten];;;;;
BDA:32;1595;Deventer;Simon van Steenbergen ?;;[titelpagina ontbreekt] Deventer schrijfalmanach [1595], [Simon van Steenbergen?, Deventer].;16o: [fragment];GAG [geen sign.] [acht vrijwel identieke fragmenten];;;;;
BDA:33;1595;Utrecht;Salomon de Roy;Ambrosius Germanicus;(fol. A1r) [In zwart en rood] Almanach| nae den Ouden stijl, ende| Nieuwen stijl, op dat Iaer onses| Heeren Iesu Christi,| M.D.XCV.| [lijn]| Ghepractizeer [sic] door D. Ambrosium| Germanicum der Astronom. Liefhebber.| [houtsnede stadsgezicht met opschrift bovenaan: Amstelredam/ onderaan: hec tijt ?]| t` Utrecht by Salomon de Roy. 1595.||;16o:[A] 8 B 8;GAH F.A. Sypesteyn inv. 244;Een bijwerkje: [A 8 De cleyne Practica ofte prognosticatie [...]. Uitgegeven door Cornelis Claesz te Amsterdam.;AFBEELDING  37,1-37,2 [KOPIEEN];;;
BDA:34;1596;Delft;;?;[exemplaar onbekend] Delftschen almanak 1596;?;Onbekend;;;;;
BDA:35;1596;Delft;Maritgen Simons;Gualtherus Christophorus;(fol. 2A1r) (in zwart en rood) (ornamentrand) Almanach: Vanden Iare ons Heeren M.D.XCVI.|| (2A1r) Door Gualterum Christophorum, Chrirurgijn tot Geervliet.||;1o:[A] 1 1o:[A] 1;KBH 1700 D2;;;;;
BDA:36;1596;Deventer;Simon van Steenbergen;Rodolphus Grapheus;(fol A1r) [titel omkaderd met ornamentrand] [In zwart en rood] Schrijf Almanack, ofte| Calender na| dé Olden stijl, op dat Nye| Schalt Iaer onses Heeren Iesu| Christi. M.D.XCVI.| [lijn]| D.D. Rodolphum Grapheum,| Campensem, Medicium eñ Astronomú, Ordo | narium der K. vrye Anzestadt Deventer.| [lijn]| [houtsnede: gezicht op Deventer]| Met consent Burghemeysteren,| Schepen ende Raedt der stadt Deventer.||;16o:[A] B D 8;SABD BORG 5255 kl;;;;;
BDA:37;1596;Deventer;Simon van Steenbergen;Rodolphus Grapheus;[titelblad ontbreekt] [Deventer almanach voor 1596];16o:[A] [C] 8 (  A1, A2, A7, A8, B1, C1, C5?, C7?, C8);RMA Collectie Nova Zembla BIII;;;;;
BDA:38;1596;Deventer ?;Simon van Steenbergen ?;Rodolphus Grapheus ?;[titelpagina ontbreekt] Deventer schrijfalmanach, [Simon van Steenbergen?, Deventer].;16o:;GAG [geen sign.];;;;;
BDA:39;1597;Amsterdam;Cornelis Claesz;Ambrosius Germanicus;(fol. A1r) [In zwart en rood] [omkaderd met ornamentrand] CRONIICK | Almanach oft Iournael,| Op dat Iaer na der gheboorte| ons Heeren Iesu Christi.| M.Vc.XC VII.| Inhoudende veel waerachtighe gheschiedenissen, won | deren, menigherhande veranderinghe der Rijcken, straffe der qua | den opcomende der goeden, ende veel andere wonderlijcke| saken, tot verlustinghe, profijt, ende waer | schouwinghe van een yeder.| [lijn]| Ghepractiseert ende ghecalculeert nae den Nieuwen ende| Ouden stijl, voor dese seventien Provintien diendende: Door| D. AMBROSIUM GERMANICUM.| [Houtsnede: portret met opschrift: ANNO AETATIS XXXVIII.]| Ghedruct tot Amstelredam, by Cornelis Claesz.||;4o:[A] 4 B C 4;UBA O 80 910;;AFBEELDING  7,1, 7,2 EN 7,3 [KLEURENECTA/ KLEURENDIA'S];;;
BDA:40;1597;Delft;Jacob Cornelissz Vennecool;Pieter Heymensz;(fol. 1A1r) (In zwart en rood) (ornamentrand) Almanach, Opt Iaer ons Heeren M.D.XLVII. Door|| (2A1r) M. Pieter Heymensz. Doctoor inder Medecijnen tot Delff.||;1o:[A] 1 1o:[A] 1;KBH 1700 D2;;;;;
BDA:41;1597;Deventer;Simon van Steenbergen;Rodolphus Grapheus;(fol A1r) [in zwart en rood] Schrijf Calender, ofte| Almanach.| Nae dé Olden stijl, op dat| Iaer onses Heeré Iesu Christi.| M.D.XCVII.| [lijn]| D.D. Rodolphum Grapheú,| Campensem, Medicú eñ Astronomú, Ordo | narium der K. vrye Anzestadt Deventer| [houtsnede stadsgezicht]| Met consent Burghemeysteren,| Schepen ende Raedt der Stadt Deventer.||;16o:A D 8;RAO Toegang 5A, nr. 1832 48);;AFBEELDING  38,1 [KOPIE];;;
BDA:42;1598;'s Hertogenbosch;Jan (III) van Turnhout;?;[nog niet gezien] Der Schaepherders Calengier. Met sonderlinghe neersticheyt ende ghecorrigeert. Nae den ghereforeerden Calengier, seer profijtelijck om lesen.;8o:A 8 B 4 C F 8;UBT s' Hert 1 kod 1710 (Provinciaal genootschap Den Bosch);;;;;
BDA:43;1598;Delft;Bruyn Harmansz Schinckel;Stephanus Rabbathenus;[exemplaar onbekend, beschrijving op basis van typografische uitgave] Almanach, nae den Nieuwen ende Ouden stijl. Opt jaer ons Heeren M.D.XCVIIJ [...] Hier zijn bijghevoecht veel oude ende nieuwe geschiedenissen, seer nut ter gedencknisse  [houtsnede portret, aan weerszijde staat:] Ghepractiseert door den seer ervaren D. Stephanum Rabbaretium Astr. [...] Delft [...] Bruyn Harmanssz.;16o ?;Onbekend;;;;;
BDA:44;1598;Delft;Maritgen Simons;Gualtherus Christophorus;(fol. 2A1r) (In zwart en rood) (ornamentrand) Almanach, Op't Jaer ons Heeren M.D.XCVIII.|| (2A1r) Door Gualterum Christophorum, Chirurgijn tot Geervliet.||;1o:[A] 1 1o:[A] 1;KBH 1700 D2;;;;;
BDA:45;1598;Delft;Simon Jansz;Romijn Harmensz;[exemplaar onbekend] Almanack, nae den Nieuwen ende Ouden stijl op t'jaer ons Heeren MDXCIII, by Romyn Harmansz. Delft, Symon Jannsz.;?;Onbekend;;;;;
BDA:46;1598;Maastricht;Jan (III) van Ghelen;?;(fol. A1r) [in zwart en rood] Der| Schaepherders| Kalengier.| Nu op een nieu ghecorrigeert nae den uieu  [sic]| wen stijl ende die Eclipsen der Sonnen ende Manen,| dwelck in dander verloopen staet, ende is zeer| geneuchlijc om lesen ende niet min profijtelijc| allen Kooplieden ende ander menschen.| Noch zijn hier toegedaé de Eclipsen komé | de in desen navolghende Iaren tot het Iaer 1605.| twelc in dander Schaepherders Calengiers| niet begrepen en is.| [houtsnede: twee herders met kop en schop die de hemel bestuderen, daaromheen schapen, verder bovenaan zon, maan, sterren, wolken]| TOT MAESTRICHT,| Ghedruckt By Ian van Geelen Woo | nende inde twee Hasewinden Anno 1598.||;8o:A H 8;SBM 6003 E 2;;;;;
BDA:47;1599;'s Gravenhage;Aelbrecht Hendricksz;D. Strobanus;(fol. A1r) [omkaderd door een ornamentrand] [in zwart en rood] Almanach ende Prog | nosticatie vanden Iare ons Heeren| M.D.XCIX. Wesende t'derde| Iaer naer t'schrickel Iaer.| Gepractizeert op den Meridiaen van 52. gra | dus der Gheunieerde Provintien, door D. Stroba | num D. van mijne E. Heeren, die Heeren| Raden van Staten der selver| Provintien.| [houtsnede: de Hollandse leeuw, met sabel en pijlenbundel]| POST FVNERA VIRTVS.| [lijn]| In sGraven Hage, by Aelbrecht Heyndrixz.||;16o:1 [A] 8 B 8 2A 8;KBB II 5447 A;Een bijwerkje: B7 en B8 en A 8 Prognosticatie ofte voorsegginge [...] voor 1599, uitgegeven door Aelbrecht Hendricksz in Den Haag.;;;;
BDA:48;1599;Amsterdam;?;?;[exemplaar onbekend] Der schaepherders Kalengier [...] Amsterdam 1599.;8o?;Onbekend;;;;;
BDA:49;1599;Delft;Bruyn Harmansz Schinckel;Johannes Christianus;(fol. 2A1r) (In zwart en rood) (ornamentrand) Almanach: Op het Iaer onses Heeren, M.D.XCIX. Door|| (2A1r) Johannem Christiani, Chirurgijn tot Oudt Beyerlandt.||;1o:[A] 1 1o:[A] 1;KBH 1700 D2;;;;;
BDA:50;1599;Delft;Bruyn Harmansz Schinkel;Stephanus Rabbathenus;(fol. A1r) [In zwart en rood] [ornamentrand] Almanach,| nae den| Nieuwen en Ouden stijl.| Opt Iaer ons Heeren| M.D.XCIX.| [lijn]| Hier zijn byghevoecht veel oude ende nieuwe| geschiedenissen, seer nut ter gedenckenisse.| [lijn]| [houtsnede portret, aan weerszijden van de houtsnede staat:] Ghepractiseert door den seer ervaren| D. Stephanum Rabbathenum, Astr.| Tot Delff, By Bruyn Harmanssz.||;16o:[A] 8 B 8;GAH F.A. Van Sypesteyn inv. 244;Een bijwerkje: A B 8: Corte beschrijvinge van de    notabelste geschiedenissen[...]., zelfde uitgever. Wordt op titelpagina almanak al vermeld.;;;;
